fase;date;team_1;score_1;score_2;team_2;
1ª Fase Grupo A;17/10/2021;CD José Regio;72;35;Juvemaia ACDC;
1ª Fase Grupo A;17/10/2021;Guifões SC;68;54;FC Gaia;
1ª Fase Grupo A;10/10/2021;CD José Regio;13;100;FC Gaia;
1ª Fase Grupo A;10/10/2021;Juvemaia ACDC;11;97;Guifões SC;
1ª Fase Grupo A;03/10/2021;FC Gaia;140;9;Juvemaia ACDC;
1ª Fase Grupo A;02/10/2021;Guifões SC;85;28;CD José Regio;
;;;;;;
1ª Fase Grupo B;17/10/2021;FC Porto;31;71;Club 5Basket;
1ª Fase Grupo B;16/10/2021;FidesGondobasket;24;73;CLIP Teams;
1ª Fase Grupo B;10/10/2021;FidesGondobasket;16;95;Club 5Basket;
1ª Fase Grupo B;10/10/2021;CLIP Teams;31;87;FC Porto;
1ª Fase Grupo B;09/10/2021;FC Porto;106;5;FidesGondobasket;
1ª Fase Grupo B;03/10/2021;Club 5Basket;87;17;CLIP Teams;
;;;;;;
1ª Fase Grupo C;17/10/2021;Maia Basket;95;20;GD Bolacesto;
1ª Fase Grupo C;17/10/2021;Académico FC A;61;47;CAA Salesianos;
1ª Fase Grupo C;10/10/2021;GD Bolacesto;32;54;Académico FC A;
1ª Fase Grupo C;10/10/2021;Maia Basket;79;39;CAA Salesianos;
1ª Fase Grupo C;03/10/2021;Académico FC A;36;80;Maia Basket;
1ª Fase Grupo C;02/10/2021;CAA Salesianos;20;0;GD Bolacesto;
;;;;;;
1ª Fase Grupo D;17/10/2021;CD Póvoa A;24;40;AC Alfenense A;
1ª Fase Grupo D;16/10/2021;UAA Aroso;39;73;GDB Leça;
1ª Fase Grupo D;13/10/2021;GDB Leça;58;38;AC Alfenense A;
1ª Fase Grupo D;10/10/2021;AC Alfenense A;66;26;UAA Aroso;
1ª Fase Grupo D;09/10/2021;CD Póvoa A;17;53;GDB Leça;
1ª Fase Grupo D;02/10/2021;UAA Aroso;35;46;CD Póvoa A;
;;;;;;
1ª Fase Grupo E1;15/10/2021;Maia Basket B;68;43;Guifões SC 2;
1ª Fase Grupo E1;10/10/2021;NCR Valomgo;58;16;Maia Basket B;
1ª Fase Grupo E1;02/10/2021;Guifões SC 2;34;67;NCR Valomgo;
;;;;;;
1ª Fase Grupo E2;17/10/2021;FC Gaia B;4;120;Powertoghether;
1ª Fase Grupo E2;10/10/2021;Club 5Basket B;30;50;FC Gaia B;
1ª Fase Grupo E2;03/10/2021;Powertoghether;121;9;Club 5Basket B;
;;;;;;
1ª Fase Grupo E3;16/10/2021;Académico FC B;33;23;Campo e Sobrado;
1ª Fase Grupo E3;09/10/2021;CBP 2012 A;38;21;Académico FC B;
1ª Fase Grupo E3;03/10/2021;Campo e Sobrado;12;48;CBP 2012 A;
;;;;;;
2ª Fase Grupo F;01/12/2021;Club 5Basket;43;50;Maia Basket;
2ª Fase Grupo F;01/12/2021;GDB Leça;36;54;Guifões SC;
2ª Fase Grupo F;28/11/2021;Maia Basket;86;23;GDB Leça;
2ª Fase Grupo F;28/11/2021;Club 5Basket;60;56;Guifões SC;
2ª Fase Grupo F;21/11/2021;Guifões SC;46;42;Maia Basket;
2ª Fase Grupo F;21/11/2021;GDB Leça;16;75;Club 5Basket;
2ª Fase Grupo F;14/11/2021;Guifões SC;73;20;GDB Leça;
2ª Fase Grupo F;14/11/2021;Maia Basket;58;45;Club 5Basket;
2ª Fase Grupo F;07/11/2021;Guifões SC;47;55;Club 5Basket;
2ª Fase Grupo F;07/11/2021;GDB Leça;17;99;Maia Basket;
2ª Fase Grupo F;31/10/2021;Club 5Basket;90;18;GDB Leça;
2ª Fase Grupo F;31/10/2021;Maia Basket;67;61;Guifões SC;
;;;;;;
2ª Fase Grupo G;01/12/2021;AC Alfenense A;29;62;Académico FC A;
2ª Fase Grupo G;01/12/2021;FC Porto;56;64;FC Gaia;
2ª Fase Grupo G;28/11/2021;FC Gaia;67;11;AC Alfenense A;
2ª Fase Grupo G;28/11/2021;FC Porto;42;35;Académico FC A;
2ª Fase Grupo G;21/11/2021;AC Alfenense A;39;85;FC Porto;
2ª Fase Grupo G;21/11/2021;Académico FC A;34;52;FC Gaia;
2ª Fase Grupo G;14/11/2021;FC Gaia;45;44;FC Porto;
2ª Fase Grupo G;14/11/2021;Académico FC A;51;42;AC Alfenense A;
2ª Fase Grupo G;07/11/2021;AC Alfenense A;38;59;FC Gaia;
2ª Fase Grupo G;06/11/2021;Académico FC A;39;48;FC Porto;
2ª Fase Grupo G;31/10/2021;FC Porto;69;21;AC Alfenense A;
2ª Fase Grupo G;30/10/2021;FC Gaia;62;31;AC Alfenense A;
;;;;;;
2ª Fase Grupo H;01/12/2021;CAA Salesianos;45;79;CD José Regio;
2ª Fase Grupo H;01/12/2021;CD Póvoa A;32;40;CLIP Teams;
2ª Fase Grupo H;28/11/2021;CLIP Teams;33;66;CAA Salesianos;
2ª Fase Grupo H;28/11/2021;CD Póvoa A;42;53;CD José Regio;
2ª Fase Grupo H;21/11/2021;CD José Regio;44;43;CLIP Teams;
2ª Fase Grupo H;21/11/2021;CAA Salesianos;77;23;CD Póvoa A;
2ª Fase Grupo H;14/11/2021;CAA Salesianos;75;33;CLIP Teams;
2ª Fase Grupo H;13/11/2021;CLIP Teams;38;42;CD Póvoa A;
2ª Fase Grupo H;13/11/2021;CD José Regio;42;51;CAA Salesianos;
2ª Fase Grupo H;07/11/2021;CD José Regio;44;38;CD Póvoa A;
2ª Fase Grupo H;31/10/2021;CD Póvoa A;29;86;CAA Salesianos;
2ª Fase Grupo H;24/10/2021;CD José Regio;36;51;CLIP Teams;
;;;;;;
2ª Fase Grupo I;01/12/2021;GD Bolacesto;70;46;FidesGondobasket;
2ª Fase Grupo I;01/12/2021;UAA Aroso;49;35;Juvemaia ACDC;
2ª Fase Grupo I;27/11/2021;GD Bolacesto;88;28;Juvemaia ACDC;
2ª Fase Grupo I;27/11/2021;FidesGondobasket;45;36;UAA Aroso;
2ª Fase Grupo I;21/11/2021;Juvemaia ACDC;19;57;FidesGondobasket;
2ª Fase Grupo I;21/11/2021;UAA Aroso;33;70;GD Bolacesto;
2ª Fase Grupo I;14/11/2021;Juvemaia ACDC;30;45;UAA Aroso;
2ª Fase Grupo I;13/11/2021;FidesGondobasket;38;76;GD Bolacesto;
2ª Fase Grupo I;07/11/2021;Juvemaia ACDC;24;112;GD Bolacesto;
2ª Fase Grupo I;07/11/2021;UAA Aroso;29;40;FidesGondobasket;
2ª Fase Grupo I;30/10/2021;GD Bolacesto;53;27;UAA Aroso;
2ª Fase Grupo I;30/10/2021;FidesGondobasket;61;36;Juvemaia ACDC;
;;;;;;
2ª Fase Grupo J;01/12/2021;CBP 2012 A;30;58;NCR Valomgo;
2ª Fase Grupo J;27/11/2021;NCR Valomgo;32;55;Powertoghether;
2ª Fase Grupo J;21/11/2021;Powertoghether;82;21;CBP 2012 A;
2ª Fase Grupo J;13/11/2021;NCR Valomgo;67;30;CBP 2012 A;
2ª Fase Grupo J;07/11/2021;Powertoghether;64;32;NCR Valomgo;
2ª Fase Grupo J;30/10/2021;CBP 2012 A;14;99;Powertoghether;
;;;;;;
2ª Fase Grupo K;01/12/2021;FC Gaia B;40;17;Académico FC B;
2ª Fase Grupo K;28/11/2021;Académico FC B;34;48;Maia Basket B;
2ª Fase Grupo K;21/11/2021;FC Gaia B;34;35;Maia Basket B;
2ª Fase Grupo K;14/11/2021;Académico FC B;56;16;FC Gaia B;
2ª Fase Grupo K;07/11/2021;Maia Basket B;36;41;Académico FC B;
2ª Fase Grupo K;30/10/2021;Maia Basket B;68;22;FC Gaia B;
;;;;;;
2ª Fase Grupo L;01/12/2021;Guifões SC 2;54;52;Campo e Sobrado;
2ª Fase Grupo L;28/11/2021;Campo e Sobrado;48;45;Club 5Basket B;
2ª Fase Grupo L;21/11/2021;Club 5Basket B;30;38;Guifões SC 2;
2ª Fase Grupo L;14/11/2021;Campo e Sobrado;40;52;Guifões SC 2;
2ª Fase Grupo L;06/11/2021;Club 5Basket B;32;44;Campo e Sobrado;
2ª Fase Grupo L;31/10/2021;Guifões SC 2;71;26;Club 5Basket B;
;;;;;; 
2ª Fase Grupo M;01/12/2021;CBP 2012 B;20;0;BC Gaia;
2ª Fase Grupo M;28/11/2021;BC Gaia;33;32;AC Alfenense B;
2ª Fase Grupo M;21/11/2021;AC Alfenense B;42;35;CBP 2012 B;
2ª Fase Grupo M;13/11/2021;BC Gaia;62;19;CBP 2012 B;
2ª Fase Grupo M;07/11/2021;AC Alfenense B;34;28;BC Gaia;
2ª Fase Grupo M;30/10/2021;CBP 2012 B;18;103;AC Alfenense B;
;;;;;;
3ª Fase Grupo N;06/02/2022;Club 5Basket;70;44;Guifões SC;
3ª Fase Grupo N;05/02/2022;FC Gaia;55;39;Club 5Basket;
3ª Fase Grupo N;29/01/2022;Maia Basket;43;41;FC Gaia;
3ª Fase Grupo N;23/01/2022;Guifões SC;46;60;Maia Basket;
3ª Fase Grupo N;16/01/2022;Club 5Basket;47;51;Maia Basket;
3ª Fase Grupo N;16/01/2022;Guifões SC;58;49;FC Gaia;
3ª Fase Grupo N;19/12/2021;Guifões SC;50;55;Club 5Basket;
3ª Fase Grupo N;19/12/2021;FC Gaia;45;64;Maia Basket;
3ª Fase Grupo N;18/12/2021;Club 5Basket;39;45;FC Gaia;
3ª Fase Grupo N;17/12/2021;Maia Basket;75;44;Guifões SC;
3ª Fase Grupo N;12/12/2021;FC Gaia;36;47;Guifões SC;
3ª Fase Grupo N;11/12/2021;Maia Basket;69;52;Club 5Basket;
;;;;;;
3ª Fase Grupo O;05/02/2022;Académico FC A;65;56;GDB Leça;
3ª Fase Grupo O;30/01/2022;CD José Regio;37;69;FC Porto;
3ª Fase Grupo O;23/01/2022;FC Porto;44;39;Académico FC A;
3ª Fase Grupo O;23/01/2022;CD José Regio;52;49;GDB Leça;
3ª Fase Grupo O;16/01/2022;Académico FC A;65;42;CD José Regio;
3ª Fase Grupo O;15/01/2022;GDB Leça;31;86;FC Porto;
3ª Fase Grupo O;19/12/2021;FC Porto;93;38;CD José Regio;
3ª Fase Grupo O;19/12/2021;GDB Leça;35;76;Académico FC A;
3ª Fase Grupo O;18/12/2021;GDB Leça;64;66;CD José Regio;
3ª Fase Grupo O;18/12/2021;Académico FC A;42;54;FC Porto;
3ª Fase Grupo O;12/12/2021;FC Porto;47;48;GDB Leça;
3ª Fase Grupo O;12/12/2021;CD José Regio;42;65;Académico FC A;
;;;;;;
3ª Fase Grupo P;06/02/2022;CAA Salesianos;67;42;CLIP Teams;
3ª Fase Grupo P;30/01/2022;GD Bolacesto;55;37;AC Alfenense A;
3ª Fase Grupo P;29/01/2022;CAA Salesianos;57;78;GD Bolacesto;
3ª Fase Grupo P;22/01/2022;CLIP Teams;43;48;AC Alfenense A;
3ª Fase Grupo P;16/01/2022;AC Alfenense A;43;63;CAA Salesianos;
3ª Fase Grupo P;16/01/2022;GD Bolacesto;70;39;CLIP Teams; 
3ª Fase Grupo P;19/12/2021;AC Alfenense A;60;59;GD Bolacesto;
3ª Fase Grupo P;18/12/2021;AC Alfenense A;59;46;CLIP Teams;
3ª Fase Grupo P;18/12/2021;GD Bolacesto;59;65;CAA Salesianos;
3ª Fase Grupo P;12/12/2021;CAA Salesianos;56;54;AC Alfenense A;
3ª Fase Grupo P;11/12/2021;CLIP Teams;73;49;GD Bolacesto;
3ª Fase Grupo P;08/12/2021;CLIP Teams;40;60;CAA Salesianos;
;;;;;;
3ª Fase Grupo Q;06/02/2022;Powertoghether;60;18;UAA Aroso;
3ª Fase Grupo Q;05/02/2022;CD Póvoa A;25;52;Powertoghether;
3ª Fase Grupo Q;30/01/2022;FidesGondobasket;26;48;CD Póvoa A;
3ª Fase Grupo Q;23/01/2022;UAA Aroso;23;27;FidesGondobasket;
3ª Fase Grupo Q;16/01/2022;CD Póvoa A;27;52;UAA Aroso;
3ª Fase Grupo Q;15/01/2022;FidesGondobasket;32;60;Powertoghether;
3ª Fase Grupo Q;19/12/2021;CD Póvoa A;50;38;FidesGondobasket;
3ª Fase Grupo Q;19/12/2021;UAA Aroso;21;73;Powertoghether;
3ª Fase Grupo Q;18/12/2021;FidesGondobasket;47;31;UAA Aroso;
3ª Fase Grupo Q;18/12/2021;Powertoghether;63;22;CD Póvoa A;
3ª Fase Grupo Q;12/12/2021;Powertoghether;63;20;FidesGondobasket;
3ª Fase Grupo Q;12/12/2021;UAA Aroso;22;51;CD Póvoa A;
;;;;;;
3ª Fase Grupo R;30/01/2022;CBP 2012 A;35;51;NCR Valomgo;
3ª Fase Grupo R;29/01/2022;CBP 2012 A;61;26;Juvemaia ACDC;
3ª Fase Grupo R;29/01/2022;Maia Basket B;36;58;NCR Valomgo;
3ª Fase Grupo R;23/01/2022;Juvemaia ACDC;43;35;Maia Basket B;
3ª Fase Grupo R;16/01/2022;Juvemaia ACDC;33;90;NCR Valomgo;
3ª Fase Grupo R;15/01/2022;CBP 2012 A;66;32;Maia Basket B;
3ª Fase Grupo R;19/12/2021;Maia Basket B;22;49;CBP 2012 A;
3ª Fase Grupo R;19/12/2021;NCR Valomgo;87;29;Maia Basket B;
3ª Fase Grupo R;18/12/2021;NCR Valomgo;44;32;CBP 2012 A;
3ª Fase Grupo R;12/12/2021;Maia Basket B;38;63;CBP 2012 A;
3ª Fase Grupo R;12/12/2021;NCR Valomgo;62;25;Juvemaia ACDC;
3ª Fase Grupo R;11/12/2021;Maia Basket B;35;57;Juvemaia ACDC;
;;;;;;
3ª Fase Grupo S;30/01/2022;Académico FC B;20;0;CBP 2012 B;
3ª Fase Grupo S;30/01/2022;CDC J. Pacense;20;0;Club 5Basket B;
3ª Fase Grupo S;23/01/2022;Club 5Basket B;21;71;Académico FC B;
3ª Fase Grupo S;23/01/2022;Campo e Sobrado;22;72;CDC J. Pacense;
3ª Fase Grupo S;15/01/2022;CBP 2012 B;46;40;Club 5Basket B;
3ª Fase Grupo S;15/01/2022;Académico FC B;58;36;Campo e Sobrado;
3ª Fase Grupo S;19/12/2021;CDC J. Pacense;0;20;Académico FC B;
3ª Fase Grupo S;19/12/2021;Campo e Sobrado;0;20;CBP 2012 B;
3ª Fase Grupo S;12/12/2021;Club 5Basket B;46;29;Campo e Sobrado;
3ª Fase Grupo S;11/12/2021;CBP 2012 B;26;53;CDC J. Pacense;
;;;;;;
3ª Fase Grupo T;30/01/2022;AC Alfenense B;45;43;Guifões SC 2;
3ª Fase Grupo T;30/01/2022;BC Gaia;56;21;Club 5Basket C;
3ª Fase Grupo T;23/01/2022;Club 5Basket C;11;90;AC Alfenense B;
3ª Fase Grupo T;22/01/2022;FC Gaia B;27;53;BC Gaia;
3ª Fase Grupo T;16/01/2022;Guifões SC 2;73;30;Club 5Basket C;
3ª Fase Grupo T;16/01/2022;AC Alfenense B;56;25;FC Gaia B;
3ª Fase Grupo T;19/12/2021;BC Gaia;48;31;AC Alfenense B;
3ª Fase Grupo T;19/12/2021;FC Gaia B;49;35;Guifões SC 2;
3ª Fase Grupo T;12/12/2021;Club 5Basket C;27;46;FC Gaia B;
3ª Fase Grupo T;12/12/2021;Guifões SC 2;29;50;BC Gaia;
;;;;;;
FINAL ABP;19/06/2022;FC Porto;46;60;FC Gaia;
FINAL ABP;19/06/2022;Maia Basket;30;28;Club 5Basket;
FINAL ABP;18/06/2022;FC Gaia;46;49;Maia Basket;
FINAL ABP;18/06/2022;Club 5Basket;52;40;FC Porto;
FINAL ABP;17/06/2022;Maia Basket;45;41;FC Porto;
FINAL ABP;17/06/2022;Club 5Basket;44;42;FC Gaia;
